number,domain
1,google.com
2,googleapis.com
3,root-servers.net
4,apple.com
5,gstatic.com
6,facebook.com
7,microsoft.com
8,tiktokcdn.com
9,amazonaws.com
10,fbcdn.net
11,googlevideo.com
12,doubleclick.net
13,youtube.com
14,apple-dns.net
15,icloud.com
16,whatsapp.net
17,instagram.com
18,akadns.net
19,amazon.com
20,tiktokv.com
21,googleusercontent.com
22,googlesyndication.com
23,akamai.net
24,cloudflare.com
25,gvt2.com
26,cloudfront.net
27,ntp.org
28,cloudflare-dns.com
29,akamaiedge.net
30,live.com
31,bing.com
32,ytimg.com
33,aaplimg.com
34,cdn77.org
35,spotify.com
36,cdninstagram.com
37,google-analytics.com
38,ttlivecdn.com
39,netflix.com
40,office.com
41,yahoo.com
42,twitter.com
43,bytefcdn-oversea.com
44,app-measurement.com
45,snapchat.com
46,gvt1.com
47,fastly.net
48,amazon-adsystem.com
49,dns.google
50,googleadservices.com
51,one.one
52,unity3d.com
53,msftncsi.com
54,digicert.com
55,criteo.com
56,applovin.com
57,googletagmanager.com
58,azure.com
59,pki.goog
60,trafficmanager.net
61,ui.com
62,msn.com
63,samsung.com
64,ggpht.com
65,app-analytics-services.com
66,skype.com
67,linkedin.com
68,office.net
69,baidu.com
70,microsoftonline.com
71,office365.com
72,xiaomi.com
73,wikipedia.org
74,sentry.io
75,bytefcdn-ttpeu.com
76,gmail.com
77,windows.net
78,taboola.com
79,windows.com
80,roblox.com
81,android.com
82,2mdn.net
83,akamaized.net
84,qq.com
85,3gppnetwork.org
86,rocket-cdn.com
87,casalemedia.com
88,doubleverify.com
89,mzstatic.com
90,smartadserver.com
91,windowsupdate.com
92,appsflyersdk.com
93,example.com
94,tiktokcdn-us.com
95,sharepoint.com
96,cdn-apple.com
97,rubiconproject.com
98,ampproject.org
99,zoom.us
100,outlook.com
101,google.co.ao
102,adnxs.com
103,shalltry.com
104,whatsapp.com
105,azureedge.net
106,bangcdn.net
107,licdn.com
108,tiktok.com
